t,UAB,UFD(V),IFD(A)
0.05461,0.955,163.574,533.481
0.05469,0.955,162.964,533.481
0.05477,0.955,162.354,532.26
0.05484,0.955,162.354,532.26
0.05492,0.955,161.743,533.481
0.055,0.955,161.133,532.26
0.05508,0.955,161.133,532.26
0.05516,0.955,161.133,532.26
0.05523,0.955,161.133,532.26
0.05531,0.955,161.133,532.26
0.05539,0.955,160.523,532.26
0.05547,0.955,161.133,532.26
0.05555,0.955,161.133,532.26
0.05563,0.955,161.133,532.26
0.0557,0.955,161.743,532.26
0.05578,0.955,161.743,532.26
0.05586,0.955,162.354,532.26
0.05594,0.955,162.354,532.26
0.05602,0.956,162.354,532.26
0.05609,0.956,162.964,532.26
0.05617,0.956,163.574,532.26
0.05625,0.956,163.574,532.26
0.05633,0.956,164.185,532.26
0.05641,0.956,164.185,532.26
0.05648,0.956,164.185,532.26
0.05656,0.956,164.795,532.26
0.05664,0.956,165.405,532.26
0.05672,0.956,164.795,532.26
0.0568,0.956,165.405,532.26
0.05688,0.956,165.405,532.26
0.05695,0.956,166.016,532.26
0.05703,0.956,166.016,532.26
0.05711,0.956,166.016,532.26
0.05719,0.956,166.016,532.26
0.05727,0.956,166.016,532.26
0.05734,0.956,166.016,532.26
0.05742,0.956,165.405,532.26
0.0575,0.956,165.405,532.26
0.05758,0.956,165.405,532.26
0.05766,0.956,164.795,532.26
0.05773,0.956,164.795,532.26
0.05781,0.956,164.795,532.26
0.05789,0.956,164.185,532.26
0.05797,0.956,163.574,532.26
0.05805,0.956,162.964,532.26
0.05813,0.956,162.964,532.26
0.0582,0.956,162.354,532.26
0.05828,0.956,161.743,532.26
0.05836,0.956,161.743,532.26
0.05844,0.956,161.133,532.26
0.05852,0.956,161.133,532.26
0.05859,0.956,161.133,532.26
0.05867,0.956,161.133,532.26
0.05875,0.956,161.133,532.26
0.05883,0.956,161.133,532.26
0.05891,0.956,161.743,532.26
0.05898,0.956,161.743,532.26
0.05906,0.956,161.743,532.26
0.05914,0.956,161.743,532.26
0.05922,0.956,162.354,532.26
0.0593,0.956,162.354,532.26
0.05938,0.956,162.964,532.26
0.05945,0.956,163.574,532.26
0.05953,0.956,163.574,532.26
0.05961,0.956,164.185,532.26
0.05969,0.956,164.185,532.26
0.05977,0.956,164.795,532.26
0.05984,0.956,164.795,532.26
0.05992,0.956,164.795,532.26
0.06,0.956,165.405,532.26
0.06008,0.956,165.405,532.26
0.06016,0.956,165.405,532.26
0.06023,0.956,165.405,532.26
0.06031,0.956,166.016,532.26
0.06039,0.956,166.016,532.26
0.06047,0.956,166.016,532.26
