t,UAB(V),delta,UAB
0.414375,95.454,0.95454,0.94977
0.415,95.456,0.95456,0.94979
0.415625,95.458,0.95458,0.94981
0.41625,95.459,0.95459,0.94982
0.416875,95.459,0.95459,0.94982
0.4175,95.46,0.9546,0.94983
0.418125,95.459,0.95459,0.94982
0.41875,95.459,0.95459,0.94982
0.419375,95.456,0.95456,0.94979
0.42,95.454,0.95454,0.94977
0.420625,95.452,0.95452,0.94975
0.42125,95.451,0.95451,0.94974
0.421875,95.449,0.95449,0.94972
0.4225,95.447,0.95447,0.9497
0.423125,95.443,0.95443,0.94966
0.42375,95.444,0.95444,0.94967
0.424375,95.445,0.95445,0.94968
0.425,95.444,0.95444,0.94967
0.425625,95.443,0.95443,0.94966
0.42625,95.443,0.95443,0.94966
0.426875,95.443,0.95443,0.94966
0.4275,95.444,0.95444,0.94967
0.428125,95.444,0.95444,0.94967
0.42875,95.444,0.95444,0.94967
0.429375,95.446,0.95446,0.94969
0.43,95.445,0.95445,0.94968
0.430625,95.443,0.95443,0.94966
0.43125,95.445,0.95445,0.94968
0.431875,95.445,0.95445,0.94968
0.4325,95.448,0.95448,0.94971
0.433125,95.45,0.9545,0.94973
0.43375,95.452,0.95452,0.94975
0.434375,95.454,0.95454,0.94977
0.435,95.456,0.95456,0.94979
0.435625,95.456,0.95456,0.94979
0.43625,95.458,0.95458,0.94981
0.436875,95.459,0.95459,0.94982
0.4375,95.46,0.9546,0.94983
0.438125,95.46,0.9546,0.94983
0.43875,95.459,0.95459,0.94982
0.439375,95.459,0.95459,0.94982
0.44,95.457,0.95457,0.9498
0.440625,95.453,0.95453,0.94976
0.44125,95.453,0.95453,0.94976
0.441875,95.452,0.95452,0.94975
0.4425,95.451,0.95451,0.94974
0.443125,95.452,0.95452,0.94975
0.44375,95.449,0.95449,0.94972
0.444375,95.448,0.95448,0.94971
0.445,95.449,0.95449,0.94972
0.445625,95.452,0.95452,0.94975
0.44625,95.455,0.95455,0.94978
0.446875,95.455,0.95455,0.94978
0.4475,95.456,0.95456,0.94979
0.448125,95.456,0.95456,0.94979
0.44875,95.455,0.95455,0.94978
0.449375,95.454,0.95454,0.94977
0.45,95.452,0.95452,0.94975
0.450625,95.448,0.95448,0.94971
0.45125,95.449,0.95449,0.94972
0.451875,95.448,0.95448,0.94971
0.4525,95.448,0.95448,0.94971
0.453125,95.446,0.95446,0.94969
0.45375,95.445,0.95445,0.94968
0.454375,95.448,0.95448,0.94971
0.455,95.448,0.95448,0.94971
0.455625,95.45,0.9545,0.94973
0.45625,95.451,0.95451,0.94974
0.456875,95.452,0.95452,0.94975
0.4575,95.452,0.95452,0.94975
0.458125,95.452,0.95452,0.94975
0.45875,95.452,0.95452,0.94975
0.459375,95.451,0.95451,0.94974
0.46,95.449,0.95449,0.94972
0.460625,95.45,0.9545,0.94973
